[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 278.0, 138.0, 0.0, 144.0, 237.0, 160.0, -22.0, 124.0, 0.0, 105.0, 0.0, 95.0, 0.0, 0.0, 108.0, 115.0, 212.0, 263.0, 160.0, 384.0, 0.0, 247.0, 100.0]
[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 278.0, 138.0, 0.0, 144.0, 237.0, 160.0, -22.0, 124.0, 0.0, 105.0, 0.0, 203.0, 0.0, 0.0, 0.0, 223.0, 212.0, 263.0, 160.0, 384.0, 0.0, 247.0, 100.0]
[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 365.0, 0.0, 0.0, 0.0, 377.0, 138.0, 0.0, 381.0, 0.0, 160.0, -22.0, 124.0, 0.0, 105.0, 0.0, 440.0, 0.0, 0.0, 0.0, 223.0, 212.0, 263.0, 160.0, 384.0, 0.0, 247.0, 100.0]
[373.0, 0.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 386.0, 138.0, 0.0, 144.0, 237.0, 268.0, -22.0, 232.0, 0.0, 105.0, 0.0, 95.0, 0.0, 0.0, 0.0, 115.0, 212.0, 378.0, 160.0, 384.0, 0.0, 247.0, 100.0]
[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 278.0, 138.0, 0.0, 0.0, 237.0, 304.0, -22.0, 124.0, 0.0, 105.0, 0.0, 95.0, 0.0, 0.0, 252.0, 115.0, 212.0, 263.0, 160.0, 384.0, 0.0, 247.0, 100.0]
[258.0, 0.0, 364.0, 0.0, 197.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 402.0, 253.0, 0.0, 268.0, 237.0, 160.0, 215.0, 0.0, 0.0, 105.0, 0.0, 95.0, 0.0, 0.0, 108.0, 115.0, 312.0, 378.0, 160.0, 384.0, 0.0, 462.0, 0.0]
[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 278.0, 138.0, 0.0, 144.0, 397.0, 0.0, -22.0, 124.0, 0.0, 105.0, 0.0, 95.0, 0.0, 0.0, 108.0, 275.0, 212.0, 263.0, 160.0, 384.0, 0.0, 247.0, 100.0]
[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 402.0, 138.0, 0.0, 376.0, 237.0, 268.0, -22.0, 0.0, 0.0, 105.0, 0.0, 95.0, 0.0, 0.0, 0.0, 115.0, 212.0, 263.0, 160.0, 384.0, 0.0, 247.0, 100.0]
[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 278.0, 138.0, 0.0, 144.0, 237.0, 160.0, -22.0, 124.0, 0.0, 105.0, 0.0, 95.0, 0.0, 0.0, 108.0, 115.0, 0.0, 263.0, 160.0, 384.0, 0.0, 459.0, 312.0]
[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 402.0, 138.0, 0.0, 268.0, 0.0, 397.0, -22.0, 0.0, 0.0, 0.0, 105.0, 95.0, 0.0, 0.0, 213.0, 457.0, 459.0, 263.0, 160.0, 384.0, 0.0, 0.0, 347.0]
[396.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 278.0, 0.0, 0.0, 0.0, 237.0, 304.0, -22.0, 124.0, 0.0, 105.0, 0.0, 95.0, 0.0, 0.0, 252.0, 115.0, 212.0, 263.0, 160.0, 384.0, 0.0, 385.0, 100.0]
[258.0, 115.0, 364.0, -237.0, -40.0, 0.0, 0.0, 266.0, 99.0, 0.0, 0.0, 386.0, 450.0, 144.0, 0.0, 237.0, 268.0, -22.0, 232.0, 0.0, 249.0, 0.0, 95.0, 312.0, 0.0, 0.0, 115.0, 0.0, 263.0, 160.0, 384.0, 0.0, 347.0, 0.0]
